Symbol,Type,Total Amount,Trans Date
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TFFP,A,123000,2022-05-17
SGHT,A,2000000,2022-05-17
DS,A,302275,2022-05-16
DS-PD,A,302275,2022-05-16
DS-PB,A,302275,2022-05-16
COIN,A,13842792,2022-05-13
BAND,A,180000,2022-05-17
PARA,A,20696448,2022-05-17
PARAP,A,20696448,2022-05-17
PARAA,A,20696448,2022-05-17
NWLI,A,204000,2022-05-18
AHCO,A,346112,2022-05-16
BAND,A,180000,2022-05-17
PARA,A,20696448,2022-05-17
PARAP,A,20696448,2022-05-17
PARAA,A,20696448,2022-05-17
NWLI,A,204000,2022-05-18
LDI,A,200000,2022-05-17
CLDT,A,210000,2022-05-18
CLDT-PA,A,210000,2022-05-18
RKT,A,182400,2022-05-18
SXT,A,120765,2022-05-16
PED,A,200000,2022-05-18
CFLT,A,1970000,2022-05-16
CTOS,A,250000,2022-05-16
CTOS-WT,A,250000,2022-05-16
TWTR,A,19600000,2022-05-13
BIRD,A,200000,2022-05-17
PRPL,A,3951436,2022-05-18
MBIN,A,103500,2022-05-13
MBINP,A,103500,2022-05-13
MBINO,A,103500,2022-05-13
MBINN,A,103500,2022-05-13
DGICA,A,234000,2022-05-19
DGICB,A,234000,2022-05-19
ALTG,A,140560,2022-05-18
ALTG-PA,A,140560,2022-05-18
BODY,A,429418,2022-05-17
BODY-WT,A,429418,2022-05-17
W,A,1715000,2022-05-19
ENOB,A,1027944,2022-05-18
PRPL,A,1800000,2022-05-20
EYES,A,307649,2022-05-20
EYESW,A,307649,2022-05-20
BODY-WT,A,651688,2022-05-27
BODY,A,651688,2022-05-27
GLBL,A,3610717,2022-05-26
GLBLU,A,3610717,2022-05-26
GLBLW,A,3610717,2022-05-26
IMMR,A,250000,2022-05-27
WIW,A,1642289,2022-05-31
RKT,A,180000,2022-06-01
SNNY,A,15469280,2022-06-01
CVNA,A,390000,2022-06-02
APPN,A,304992,2022-06-03
NRDY,A,905784,2022-06-01
NRDY-WT,A,905784,2022-06-01
NRDY,A,222590,2022-06-07
NRDY-WT,A,222590,2022-06-07
KIND,A,328758,2022-06-07
WAL,A,154000,2022-06-10
WAL-PA,A,154000,2022-06-10
NXDT,A,284655,2022-06-09
NXDT-PA,A,284655,2022-06-09
PLSE,A,162050,2022-06-09
NRDY,A,300000,2022-06-08
NRDY-WT,A,300000,2022-06-08
CVNA,A,8636440,2022-06-13
NXDT,A,924000,2022-06-13
NXDT-PA,A,924000,2022-06-13
DNB,A,1365000,2022-06-14
MAC,A,400000,2022-06-10
MMS,A,988437,2022-06-14
FTHM,A,180000,2022-06-13
FISV,A,18542349,2022-06-14
